raceId,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,date
385,16.6,,,0.4,,26,19.2,,1023.9,,1983-08-28
386,17.7,,,32.6,,59,8.7,,1003.0,,1983-09-11
387,13.4,,,0.0,,67,9.1,,1032.8,,1983-09-25
368,21.3,,,0.0,,315,19.8,,1014.6,,1982-07-25
389,24.4,,,0.0,,71,11.4,,1011.8,,1984-03-25
388,17.8,,,0.0,,89,10.8,,1018.4,,1983-10-15
390,19.6,,,0.0,,269,6.8,,1016.3,,1984-04-07
391,8.7,,,0.0,,87,17.0,,1022.4,,1984-04-29
392,16.5,,,0.0,,230,8.0,,1013.1,,1984-05-06
400,15.6,,,0.0,,17,5.8,,1023.1,,1984-08-19
396,21.4,,,0.2,,286,22.8,,1009.3,,1984-06-24
398,17.2,,,0.0,,114,9.5,,1020.9,,1984-07-22
399,18.9,,,1.1,,235,9.7,,1019.2,,1984-08-05
395,19.6,,,0.0,,202,8.7,,1016.9,,1984-06-17
397,31.7,,,0.0,,173,12.9,,1014.5,,1984-07-08
384,14.3,,,0.0,,5,5.7,,1018.2,,1983-08-14
378,18.2,,,6.3,,51,10.6,,1011.0,,1983-05-15
401,16.9,,,0.0,,335,13.7,,1015.8,,1984-08-26
404,15.6,,,0.0,,355,16.7,,1024.0,,1984-10-21
405,26.4,,,0.5,,75,7.0,,1014.4,,1985-04-07
407,11.3,,,7.0,,43,6.1,,1007.6,,1985-05-05
409,16.6,,,1.2,,134,8.6,,1010.8,,1985-06-16
402,14.7,,,0.0,,293,3.8,,1012.8,,1984-09-09
406,13.0,,,3.2,,290,17.3,,1005.8,,1985-04-21
408,15.4,,,1.2,,94,5.8,,1017.5,,1985-05-19
410,22.2,,,0.0,,229,23.5,,1014.0,,1985-06-23
394,16.2,,,26.8,,77,11.7,,1010.6,,1984-06-03
416,18.0,,,0.0,,65,4.3,,1015.2,,1985-09-08
412,12.6,,,0.9,,241,17.6,,1019.9,,1985-07-21
413,11.2,,,3.2,,230,18.0,,1013.2,,1985-08-04
415,14.4,,,1.6,,225,27.8,,1006.6,,1985-08-25
414,15.1,,,27.4,,343,5.0,,1016.9,,1985-08-18
417,11.1,,,11.2,,241,16.6,,1015.7,,1985-09-15
418,14.7,,,0.2,,196,24.5,,1013.4,,1985-10-06
422,10.7,,,0.0,,46,9.5,,1015.6,,1986-04-13
424,17.2,,,0.0,,195,4.5,,1021.1,,1986-05-11
421,24.9,,,0.0,,82,11.0,,1015.3,,1986-03-23
429,15.9,,,0.7,,333,7.6,,1022.7,,1986-07-13
434,20.4,,,1.4,,167,7.6,,1023.8,,1986-09-21
433,18.0,,,0.0,,22,4.0,,1016.1,,1986-09-07
393,10.4,,,1.8,,164,8.9,,1000.7,,1984-05-20
435,16.8,,,0.0,,355,4.4,,1015.2,,1986-10-12
420,20.6,,,0.0,,131,13.4,,1019.0,,1985-11-03
438,18.0,,,0.0,,223,15.2,,1007.2,,1987-05-03
437,27.7,,,0.0,,36,11.7,,1010.3,,1987-04-12
423,12.6,,,12.6,,85,8.7,,1007.9,,1986-04-27
427,24.8,,,1.5,,232,20.2,,1013.4,,1986-06-22
425,12.3,,,0.0,,212,11.0,,1026.7,,1986-05-25
432,20.2,,,0.8,,251,5.5,,1015.3,,1986-08-17
419,18.3,,,0.1,,178,7.6,,1015.3,,1985-10-19
426,19.3,,,0.0,,243,13.9,,1015.2,,1986-06-15
428,21.0,,,2.1,,231,11.0,,1012.6,,1986-07-06
439,6.7,,,0.0,,211,9.6,,1015.8,,1987-05-17
451,14.1,,,0.0,,51,7.1,,1026.0,,1987-11-01
452,24.1,,,0.0,,83,14.4,,1012.7,,1987-11-15
454,14.7,,,0.0,,159,6.8,,1013.2,,1988-05-01
455,16.9,,,4.1,,257,5.4,,1009.9,,1988-05-15
456,18.4,,,0.8,,204,9.1,,1012.0,,1988-05-29
457,22.9,,,0.0,,249,19.1,,1009.6,,1988-06-12
458,26.4,,,0.0,,201,19.8,,1017.7,,1988-06-19
459,18.2,,,1.0,,305,8.3,,1006.6,,1988-07-03
460,15.5,,,3.8,,206,28.1,,1012.7,,1988-07-10
461,21.2,,,1.5,,234,11.7,,1014.5,,1988-07-24
462,18.8,,,0.0,,328,5.1,,1018.7,,1988-08-07
463,19.0,,,2.5,,185,19.6,,1008.5,,1988-08-28
464,19.2,,,0.0,,298,3.5,,1022.4,,1988-09-11
465,18.5,,,0.0,,353,8.7,,1022.7,,1988-09-25
466,23.8,,,0.0,,102,17.9,,1013.7,,1988-10-02
467,10.4,,,0.0,,317,22.9,,1013.8,,1988-10-30
468,25.2,,,0.5,,333,19.2,,1007.2,,1988-11-13
469,27.0,,,0.0,,49,10.2,,1012.7,,1989-03-26
470,11.1,,,0.0,,291,7.7,,1013.8,,1989-04-23
471,17.0,,,0.0,,73,8.9,,1013.7,,1989-05-07
472,16.8,,,0.0,,47,10.2,,1019.9,,1989-05-28
473,30.3,,,0.0,,224,10.1,,1006.8,,1989-06-04
474,16.9,,,5.1,,234,13.4,,1015.4,,1989-06-18
475,23.2,,,0.0,,287,11.0,,1017.0,,1989-07-09
476,17.1,,,0.0,,358,11.9,,1026.0,,1989-07-16
477,20.9,,,1.7,,234,12.5,,1011.3,,1989-07-30
480,17.0,,,0.0,,179,4.4,,1012.0,,1989-09-10
481,17.9,,,0.0,,345,12.3,,1015.9,,1989-09-24
482,23.0,,,0.3,,122,19.5,,1016.2,,1989-10-01
478,20.5,,,0.1,,296,8.8,,1012.3,,1989-08-13
479,13.0,,,12.1,,274,21.0,,1006.1,,1989-08-27
483,14.9,,,3.8,,359,5.0,,1019.3,,1989-10-22
484,16.5,,,8.6,,206,26.1,,1005.3,,1989-11-05
448,20.3,,,10.0,,339,10.6,,1015.1,,1987-09-20
486,22.0,,,0.0,,298,12.0,,1012.8,,1990-03-25
487,18.1,,,0.0,,87,5.5,,1013.7,,1990-05-13
502,20.2,,,6.7,,147,12.2,,1012.8,,1991-03-24
505,18.4,,,0.0,,294,12.0,,1009.4,,1991-06-02
510,22.2,,,0.0,,298,10.8,,1018.2,,1991-08-11
506,17.1,,,1.7,,34,5.4,,1016.8,,1991-06-16
511,15.7,,,0.0,,53,6.4,,1022.9,,1991-08-25
512,19.8,,,2.9,,102,12.8,,1016.9,,1991-09-08
513,20.6,,,0.0,,356,13.8,,1016.9,,1991-09-22
518,17.9,,,1.0,,220,7.9,,1013.5,,1992-03-22
523,19.1,,,0.6,,345,11.4,,1008.8,,1992-06-14
524,15.4,,,3.0,,313,10.2,,1010.3,,1992-07-05
525,15.4,,,1.9,,269,18.4,,1006.4,,1992-07-12
527,20.5,,,1.1,,338,7.6,,1017.0,,1992-08-16
526,21.9,,,0.0,,232,3.4,,1020.0,,1992-07-26
528,13.2,,,3.2,,190,24.3,,1003.9,,1992-08-30
